GAME_DATE,OPPONENT,IS_HOME,MURRAY_OUT,WON_GAME,SEASON_AVG_REB,ROLL_3_REB,ROLL_5_REB,ROLL_10_REB,HEAD2HEAD_AVG_REB,OPP_REB,OPP_DEF_RATING,OPP_PACE,IS_HOME,DAYS_RESTED,WON_GAME,MURRAY_OUT,SEASON_AVG_REB_MURRAY_OUT,REB
2022-01-30,MIL,0,1,1,13.813953488372093,14.666666666666666,12.8,12.6,11.0,43.666666666666664,118.11285600212932,0.4174444444444445,0,2.0,1,1,12.582089552238806,10
2022-02-01,MIN,0,1,0,13.727272727272728,11.0,12.6,12.3,14.0,39.666666666666664,117.8636011366572,0.4301111111111111,0,2.0,0,1,12.544117647058824,16
2022-02-04,NOP,1,1,0,13.77777777777778,13.0,14.0,13.1,9.4,47.0,110.37163943068002,0.4215555555555556,1,3.0,0,1,12.594202898550725,12
2022-02-06,BKN,1,1,1,13.73913043478261,12.666666666666666,12.2,13.1,8.333333333333334,38.333333333333336,110.08273734399104,0.3961666666666666,1,2.0,1,1,12.585714285714284,12
2022-02-08,NYK,1,1,1,13.702127659574469,13.333333333333334,12.6,12.8,11.0,48.333333333333336,106.91308187208276,0.4256107382550335,1,2.0,1,1,12.577464788732394,11
2022-02-11,BOS,0,1,0,13.645833333333334,11.666666666666666,12.2,12.5,8.0,54.0,115.35881958417173,0.4141666666666666,0,3.0,0,1,12.555555555555555,16
2022-02-12,TOR,0,1,1,13.693877551020408,13.0,13.4,13.0,10.5,44.333333333333336,122.1273801707157,0.4230555555555556,0,1.0,1,1,12.602739726027398,15
2022-02-14,ORL,1,1,1,13.72,14.0,13.2,13.6,13.0,44.666666666666664,103.8935500786576,0.4237777777777777,1,2.0,1,1,12.635135135135137,15
2022-02-16,GSW,0,1,1,13.745098039215684,15.333333333333334,13.8,13.0,12.75,42.0,110.50270484232747,0.4210555555555555,0,2.0,1,1,12.666666666666666,17
2022-02-24,SAC,0,1,1,13.807692307692308,15.666666666666666,14.8,13.7,10.75,40.333333333333336,108.17626758693922,0.4185555555555555,0,8.0,1,1,12.723684210526317,12
2022-02-26,SAC,1,1,1,13.773584905660377,14.666666666666666,15.0,13.6,11.0,37.666666666666664,101.78199791883456,0.4271111111111111,1,2.0,1,1,12.714285714285714,10
